Player,Pos,Avg,Fpts,$0-$5
Rougned Odor,2B,1.41%,41,1.41% (0.00)
Francisco Arcia,C,4.82%,36,4.82% (0.00)
Joey Rickard,OF,0.69%,36,0.69% (0.00)
Trey Mancini,1B/OF,2.50%,29,2.50% (0.00)
Nelson Cruz,OF,16.02%,28,16.02% (0.00)
Jhoulys Chacin,P,26.65%,26.75,26.65% (0.00)
Trevor Richards,P,9.22%,26.5,9.22% (0.00)
Alex Wood,P,8.49%,23.15,8.49% (0.00)
Ian Kinsler,2B,2.77%,23,2.77% (0.00)
Trevor Williams,P,5.12%,22.7,5.12% (0.00)
Gregory Polanco,OF,1.00%,22,1.00% (0.00)
Yasiel Puig,OF,14.87%,22,14.87% (0.00)
Antonio Senzatela,P,3.42%,21.35,3.42% (0.00)
J.D. Martinez,OF,12.18%,21,12.18% (0.00)
Christian Yelich,OF,2.60%,21,2.60% (0.00)
Mookie Betts,OF,10.37%,21,10.37% (0.00)
Russell Martin,C,6.60%,21,6.60% (0.00)
Eduardo Nunez,2B/3B,15.17%,21,15.17% (0.00)
Jackie Bradley Jr.,OF,2.05%,20,2.05% (0.00)
Joey Gallo,1B/OF,1.24%,20,1.24% (0.00)
Max Fried,P,4.87%,19.65,4.87% (0.00)
Kevin Gausman,P,11.29%,19.15,11.29% (0.00)
Jon Jay,OF,0.92%,19,0.92% (0.00)
Leury Garcia,OF,0.54%,19,0.54% (0.00)
George Springer,OF,5.03%,19,5.03% (0.00)
Pat Valaika,1B/2B,9.60%,19,9.60% (0.00)
Eric Thames,1B/OF,1.70%,19,1.70% (0.00)
Alex Bregman,3B,5.28%,18,5.28% (0.00)
Jeff Mathis,C,7.49%,18,7.49% (0.00)
Nicky Delmonico,OF,4.46%,18,4.46% (0.00)
Nolan Arenado,3B,42.74%,18,42.74% (0.00)
Ariel Jurado,P,1.67%,17.7,1.67% (0.00)
Gio Gonzalez,P,27.51%,17.55,27.51% (0.00)
Carlos Gonzalez,OF,2.76%,17,2.76% (0.00)
Kevin Kiermaier,OF,2.67%,17,2.67% (0.00)
Isiah Kiner-Falefa,2B/3B,1.78%,17,1.78% (0.00)
Patrick Corbin,P,22.77%,16.7,22.77% (0.00)
Trea Turner,SS,9.60%,16,9.60% (0.00)
Yolmer Sanchez,3B,3.29%,16,3.29% (0.00)
Justin Verlander,P,20.73%,15.25,20.73% (0.00)
Rick Porcello,P,20.55%,15.15,20.55% (0.00)
Andrew Benintendi,OF,4.22%,15,4.22% (0.00)
Caleb Joseph,C,1.09%,15,1.09% (0.00)
Jacob deGrom,P,10.02%,14.95,10.02% (0.00)
Jaime Barria,P,5.24%,14.5,5.24% (0.00)
Lorenzo Cain,OF,0.60%,14,0.60% (0.00)
Logan Morrison,1B,1.39%,14,1.39% (0.00)
Eduardo Escobar,3B/SS,3.98%,14,3.98% (0.00)
Nick Hundley,C,0.50%,14,0.50% (0.00)
