playername,points,team
Chris Shaw,4.99,SFG
Jeff McNeil,8.17,NYM
Joey Wendle,7.16,TBR
Kevin Kiermaier,7.09,TBR
Francisco Lindor,8.3,CLE
Jakob Bauers,6.15,TBR
Brandon Crawford,6.5,SFG
Joe Panik,6.87,SFG
Austin Slater,4.71,SFG
Gorkys Hernandez,4.66,SFG
Jay Bruce,7.5,NYM
Michael Conforto,7.53,NYM
Brandon Belt,7.78,SFG
Brandon Nimmo,7.21,NYM
Michael Brantley,7.69,CLE
Jose Ramirez,8.23,CLE
Edwin Encarnacion,9.13,CLE
Jesus Sucre,3.01,TBR
Yan Gomes,5.7,CLE
Willy Adames,6.47,TBR
A.J. Pollock,8.32,ARI
Steven Souza,8.14,ARI
Tommy Pham,7.39,TBR
Matt Duffy,6.75,TBR
Melky Cabrera,6.74,CLE
Yonder Alonso,7.75,CLE
Jason Kipnis,6.27,CLE
Greg Allen,5.71,CLE
Brandon Lowe,4.45,TBR
Ji-Man Choi,7.43,TBR
Nick Hundley,6,SFG
Evan Longoria,6.37,SFG
Jean Segura,9.03,SEA
Mitch Haniger,9.61,SEA
Nelson Cruz,8.63,SEA
Mike Zunino,7,SEA
Khris Davis,8.76,OAK
Matt Chapman,8.42,OAK
Robbie Grossman,5.08,MIN
Tyler Austin,7.34,MIN
Elvis Andrus,7.63,TEX
Miguel Sano,7.9,MIN
Adrian Beltre,8.63,TEX
Robinson Chirinos,7.62,TEX
Mitch Garver,6.81,MIN
Jorge Polanco,8.01,MIN
Stephen Piscotty,6.22,OAK
Marcus Semien,5.75,OAK
Dustin Fowler,7.17,OAK
Matt Olson,6.93,OAK
Amed Rosario,7.54,NYM
Austin Jackson,6.65,NYM
Devin Mesoraco,5.24,NYM
Todd Frazier,6.46,NYM
Jed Lowrie,7.97,OAK
Dee Gordon,6.1,SEA
Ramon Laureano,6.77,OAK
Jonathan Lucroy,4.44,OAK
Robinson Cano,8,SEA
Denard Span,6.96,SEA
Ben Gamel,5.59,SEA
Kyle Seager,6.58,SEA
Paul Goldschmidt,7.82,ARI
Nick Ahmed,5.69,ARI
Nick Markakis,8.15,ATL
Freddie Freeman,7.47,ATL
Johan Camargo,6.86,ATL
Ozzie Albies,7.11,ATL
Marwin Gonzalez,6.28,HOU
Kole Calhoun,6.25,LAA
Ender Inciarte,7.29,ATL
Colin Moran,5.85,PIT
Dansby Swanson,4.64,ATL
Kurt Suzuki,6.41,ATL
Adam Frazier,7.04,PIT
Gregory Polanco,8.22,PIT
Josh Bell,6.41,PIT
Corey Dickerson,7.48,PIT
Josh Reddick,5.35,HOU
Brian McCann,5.53,HOU
Carlos Correa,7.26,HOU
Jose Altuve,8.58,HOU
Tyler White,7.71,HOU
Yulieski Gurriel,6.13,HOU
Taylor Ward,4.96,LAA
David Fletcher,6.38,LAA
Alex Bregman,7.89,HOU
George Springer,7.15,HOU
Kaleb Cowart,4.81,LAA
Francisco Arcia,5.04,LAA
Eric Young,4.7,LAA
Mike Trout,8.83,LAA
Andrelton Simmons,5.73,LAA
Justin Upton,6.85,LAA
Ronald Acuna,9.17,ATL
Jordy Mercer,5.01,PIT
Cody Bellinger,8.69,LAD
Joc Pederson,8.06,LAD
Yasmani Grandal,7.83,LAD
Max Muncy,7.22,LAD
Hunter Renfroe,7.25,SDP
Wil Myers,7.86,SDP
Alex Avila,4.81,ARI
Daniel Descalso,5.07,ARI
Manny Machado,7.49,LAD
Justin Turner,7.68,LAD
Brian Dozier,5.8,LAD
Yasiel Puig,6.52,LAD
Eduardo Escobar,5.07,ARI
David Peralta,6.84,ARI
Freddy Galvis,4.82,SDP
Franmil Reyes,7.66,SDP
Trevor Story,7.03,COL
Nolan Arenado,6.78,COL
Ian Desmond,5.72,COL
Chris Iannetta,5.25,COL
Francisco Cervelli,6.14,PIT
Starling Marte,8.5,PIT
DJ LeMahieu,6.84,COL
David Dahl,6.6,COL
Luis Urias,6,SDP
Austin Hedges,5.97,SDP
Eric Hosmer,6.26,SDP
Travis Jankowski,6.07,SDP
Carlos Gonzalez,7.77,COL
Charlie Blackmon,8.87,COL
Logan Forsythe,9.04,MIN
Jake Cave,7.08,MIN
Bryce Harper,9.36,WAS
Adam Eaton,8.16,WAS
Juan Soto,6.97,WAS
Wilmer Difo,5.61,WAS
Keon Broxton,7.04,MIL
Curtis Granderson,7.6,MIL
Mike Moustakas,7.71,MIL
Travis Shaw,8.05,MIL
Luke Maile,5,TOR
Teoscar Hernandez,6.1,TOR
Orlando Arcia,5.36,MIL
Trea Turner,8.1,WAS
Christian Yelich,8.86,MIL
Anthony Rendon,8.22,WAS
Manny Pina,6.2,MIL
Eric Thames,7.86,MIL
Carlos Santana,6.48,PHI
Rhys Hoskins,8.3,PHI
Jose Bautista,6.58,PHI
Scott Kingery,5.39,PHI
Ian Happ,6.27,CHC
Roman Quinn,8.25,PHI
Willson Contreras,4.9,CHC
Kris Bryant,6.66,CHC
Mark Reynolds,7.8,WAS
Spencer Kieboom,3.4,WAS
Daniel Murphy,7.85,CHC
Anthony Rizzo,8.31,CHC
Javier Baez,7.86,CHC
Kyle Schwarber,6.91,CHC
Aledmys Diaz,5.68,TOR
Kendrys Morales,6.86,TOR
Miguel Andujar,7.87,NYY
Aaron Hicks,7.86,NYY
Gary Sanchez,7.67,NYY
Gleyber Torres,6.92,NYY
Neil Walker,5.76,NYY
Luke Voit,7.02,NYY
Ronny Rodriguez,5.6,DET
Andrew McCutchen,9.28,NYY
Brett Gardner,4.85,NYY
Niko Goodrum,7.23,DET
Nick Castellanos,6.72,DET
Mikie Mahtook,5.42,DET
JaCoby Jones,4.23,DET
James McCann,3.11,DET
Adeiny Hechavarria,4.8,NYY
Austin Romine,6.83,NYY
Brian Anderson,7.52,MIA
J.T. Realmuto,8.38,MIA
Lourdes Gurriel,7.24,TOR
Rafael Ortega,8.2,MIA
Starlin Castro,7.39,MIA
Chad Wallach,5.4,MIA
Lewis Brinson,6.8,MIA
Devon Travis,5.44,TOR
Dawel Lugo,4.88,DET
Victor Reyes,4.49,DET
J.T. Riddle,7.19,MIA
Billy McKinney,8.06,TOR
Randal Grichuk,7.6,TOR
Magneuris Sierra,4.72,MIA
David Bote,5.23,CHC
Pedro Florimon,5.4,PHI
Scott Schebler,6.07,CIN
Scooter Gennett,7.4,CIN
Matt Carpenter,8.67,STL
Greg Garcia,6.88,STL
Eugenio Suarez,6.54,CIN
Jose Peraza,7.64,CIN
Joey Votto,7.17,CIN
Billy Hamilton,8.15,CIN
Jorge Bonifacio,6.95,KCR
Whit Merrifield,8.11,KCR
Renato Nunez,6.61,BAL
Hunter Dozier,7.72,KCR
Alcides Escobar,4.94,KCR
Rosell Herrera,6.65,KCR
Yadier Molina,6.97,STL
Jose Martinez,8.13,STL
Rougned Odor,10.35,TEX
Shin-Soo Choo,9.84,TEX
Nomar Mazara,7.83,TEX
Jurickson Profar,6.54,TEX
Ronald Guzman,5.77,TEX
Joey Gallo,7.7,TEX
Max Kepler,6.86,MIN
Joe Mauer,7.2,MIN
Paul DeJong,7.36,STL
Marcell Ozuna,6.75,STL
Harrison Bader,5.92,STL
Curt Casali,4.2,CIN
Patrick Wisdom,5.8,STL
Mason Williams,6.37,CIN
Caleb Joseph,3.03,BAL
Joey Rickard,5.61,BAL
Yoan Moncada,6.58,CHW
Matt Davidson,8.12,CHW
Ryan LaMarre,6.5,CHW
Yolmer Sanchez,6.86,CHW
Adam Engel,6.01,CHW
Kevan Smith,5.94,CHW
Tim Anderson,7.57,CHW
Ian Kinsler,7.33,BOS
Jorge Alfaro,5.08,PHI
Asdrubal Cabrera,6.33,PHI
Mookie Betts,10.25,BOS
J.D. Martinez,8.91,BOS
Eduardo Nunez,6.22,BOS
Xander Bogaerts,7.69,BOS
Mitch Moreland,7.25,BOS
Jackie Bradley,6.27,BOS
Brett Phillips,5.86,KCR
Ryan O'Hearn,8.35,KCR
Meibrys Viloria,3.98,KCR
Trey Mancini,7.42,BAL
Tim Beckham,6.9,BAL
Adam Jones,7.78,BAL
Cedric Mullins,7.4,BAL
Alex Gordon,7.41,KCR
Blake Swihart,5.3,BOS
Jose Rondon,5.75,CHW
Brock Holt,5.92,BOS
Daniel Palka,5.8,CHW
Chris Davis,7.44,BAL
Jonathan Villar,9.25,BAL
Jeimer Candelario,7.47,DET
Carlos Carrasco,23.41,CLE
Diego Castillo,6.92,TBR
Noah Syndergaard,18,NYM
Chris Stratton,12.22,SFG
Felix Hernandez,10.95,SEA
Edwin Jackson,13.42,OAK
Walker Buehler,17.03,LAD
Clay Buchholz,14.88,ARI
Shohei Ohtani,15.24,LAA
Gerrit Cole,21.57,HOU
Julio Teheran,14.66,ATL
Nick Kingham,12.89,PIT
Jacob Nix,13.07,SDP
Kyle Freeland,16.17,COL
Gabriel Moya,6.13,MIN
Zack Littell,10.79,MIN
Junior Guerra,14.54,MIL
Aaron Nola,21.6,PHI
Jefry Rodriguez,9.91,WAS
Jeff Brigham,11.86,MIA
Matt Boyd,13.31,DET
Sean Reid-Foley,12.08,TOR
Jon Lester,12.61,CHC
James Shields,11.54,CHW
Anthony DeSclafani,15.92,CIN
Yohander Mendez,9.05,TEX
Luke Weaver,14.96,STL
David Hess,13.17,BAL
Brian Johnson,17.98,BOS
Jorge Lopez,9.38,KCR
Lance Lynn,14.73,NYY
