playername,points,team
Jared Goff,20.58,LAR
Case Keenum,18.13,DEN
Chris Thompson,14.96,WAS
Adrian Peterson,11.34,WAS
Todd Gurley,23.28,LAR
Royce Freeman,7.9,DEN
Tommy Bohanon,1.69,JAC
T.J. Yeldon,16.76,JAC
Devontae Booker,5.97,DEN
Phillip Lindsay,11.32,DEN
Kapri Bibbs,1.34,WAS
Cooper Kupp,14.24,LAR
Robert Woods,15.15,LAR
DaeSean Hamilton,1.58,DEN
Dede Westbrook,12.08,JAC
Donte Moncrief,9.77,JAC
Demaryius Thomas,13.4,DEN
Emmanuel Sanders,15.68,DEN
Brandin Cooks,16.26,LAR
Courtland Sutton,7.67,DEN
Nick Boyle,5.43,BAL
Geoff Swaim,6.06,DAL
Maxx Williams,3.55,BAL
Hayden Hurst,4.18,BAL
Jonnu Smith,4.2,TEN
Luke Stocker,4.12,TEN
MyCole Pruitt,1.06,TEN
Jermaine Gresham,2.33,ARI
Ricky Seals-Jones,7.16,ARI
Tampa Bay Buccaneers,6.4,TBB
Houston Texans,8.01,HOU
Philadelphia Eagles,7.92,PHI
