playername,points
George Springer,9.73
Robinson Chirinos,5.69
Adrian Beltre,5.8
Alex Bregman,9.86
Jose Altuve,9.5
Evan Gattis,7.23
Yulieski Gurriel,7.49
Elvis Andrus,6.31
Kyle Tucker,5.28
Jurickson Profar,5.78
Rougned Odor,7.1
Shin-Soo Choo,6.9
Joey Gallo,6.67
Josh Reddick,8.41
Ronald Guzman,4.02
Marwin Gonzalez,6.45
Carlos Tocci,4.49
Max Stassi,6.16
Starlin Castro,7.49
Mark Reynolds,6.45
Ryan Zimmerman,7.18
J.T. Realmuto,6.65
Cameron Maybin,5.69
Spencer Kieboom,5.66
Miguel Rojas,4.67
Trea Turner,9.09
Magneuris Sierra,4.57
Adam Eaton,7.06
Tony Kemp,5.92
Bryce Harper,9.56
Daniel Murphy,6.77
Juan Soto,7.46
Justin Bour,5.5
Steve Pearce,6.5
Mitch Garver,5.65
Jose Abreu,9.07
Aledmys Diaz,6.29
Randal Grichuk,7
Avisail Garcia,8.11
Tim Anderson,6.95
Lourdes Gurriel,8.21
Adam Engel,5.25
Russell Martin,6.15
Teoscar Hernandez,7.91
Yoan Moncada,8.56
Yangervis Solarte,7.3
Kendrys Morales,8.32
Yolmer Sanchez,7.47
Omar Narvaez,5.75
Daniel Palka,7.28
Nicky Delmonico,5.89
Joe Mauer,7.5
Eddie Rosario,8.21
Brian Dozier,7.95
Jake Cave,6.64
Jackie Bradley,6.43
Miguel Sano,6.66
Mookie Betts,9.97
Xander Bogaerts,8.8
J.D. Martinez,9.8
Sandy Leon,6.26
Brock Holt,5.96
Jorge Polanco,7.64
Logan Morrison,7.87
Max Kepler,7.21
Andrew Benintendi,9.82
Rafael Devers,6.24
Mitch Moreland,7.67
Brian Anderson,7.97
Martin Prado,6.55
Buster Posey,8.02
Andrew McCutchen,7.32
Orlando Arcia,5.42
Evan Longoria,5.98
Hunter Pence,5.21
Dee Gordon,8.17
Ryan Braun,5.34
Manny Pina,5.77
Jesus Aguilar,7.72
Alen Hanson,7.59
Brad Miller,7.29
Travis Shaw,7.32
Brandon Crawford,7.25
Pablo Sandoval,5.88
Lorenzo Cain,7.23
Steven Duggar,6.75
Kyle Seager,8.63
Denard Span,7.04
Justin Upton,8.02
Mike Trout,11.07
Guillermo Heredia,4.54
Albert Pujols,7.2
Andrelton Simmons,6.31
David Fletcher,5.82
Ian Kinsler,6.66
Mike Zunino,7.37
Ryon Healy,7.87
Shohei Ohtani,7.79
Kole Calhoun,8.19
Francisco Arcia,4.95
Jean Segura,8.58
Nelson Cruz,8.44
Mitch Haniger,7.76
Christian Yelich,8.03
Eric Thames,8.38
Garrett Hampson,8.64
Tom Murphy,6.12
Noel Cuevas,8.25
Jed Lowrie,7.99
Matt Olson,10.1
Carlos Gonzalez,8.61
Charlie Blackmon,11.38
Trevor Story,11.39
Nolan Arenado,11.71
Khris Davis,11.06
Marcus Semien,9.42
Stephen Piscotty,7.88
Matt Chapman,8.92
Ian Desmond,11.02
Jonathan Lucroy,7.2
Nick Martini,8.32
David Peralta,8.27
Manuel Margot,6.99
Freddy Galvis,5.49
Wil Myers,7.9
Hunter Renfroe,7.49
Christian Villanueva,6.64
Austin Hedges,5.66
Jose Pirela,6.8
Steven Souza,6.75
A.J. Pollock,8.86
Ketel Marte,6.85
Eduardo Escobar,7.33
Daniel Descalso,6.23
Alex Avila,5.88
Paul Goldschmidt,9.21
Eric Hosmer,6.35
Justin Smoak,9.03
Curtis Granderson,9.33
Leonys Martin,7.07
Jason Kipnis,6.13
Michael Brantley,7.42
Jeimer Candelario,7.33
Victor Martinez,6.35
Jim Adduci,6.39
Niko Goodrum,6.8
Jose Iglesias,4.61
John Hicks,5.06
Brandon Guyer,8.25
Edwin Encarnacion,9.58
Jose Ramirez,9.99
Melky Cabrera,6.46
Yan Gomes,6.09
Nick Castellanos,7.79
Rajai Davis,6.61
Victor Reyes,4.55
Cesar Hernandez,8.15
Jorge Alfaro,6.06
Maikel Franco,8.12
Rhys Hoskins,9.04
Jose Peraza,8.6
Eugenio Suarez,7.63
Phillip Ervin,5.65
Adam Duvall,6.62
Billy Hamilton,6.14
Tucker Barnhart,6.72
Odubel Herrera,8.64
Asdrubal Cabrera,8.91
Carlos Santana,8.25
Nick Williams,8.46
Joey Votto,7.99
Scooter Gennett,8.64
Francisco Lindor,9.98
David Bote,4.7
Neil Walker,6.46
Gregory Bird,6.5
Aaron Hicks,6.93
Rosell Herrera,6.36
Adalberto Mondesi,4.85
Shane Robinson,5.89
Hunter Dozier,5.4
Didi Gregorius,9.26
Brian Goodwin,5.57
Giancarlo Stanton,9.83
Jorge Bonifacio,4.78
Salvador Perez,6.4
Austin Romine,3.91
Gleyber Torres,7.71
Alex Gordon,4.43
Lucas Duda,6.31
Tyler Wade,5.83
Anthony Rizzo,9.29
Tommy Pham,8.16
Marcell Ozuna,7.43
Yadier Molina,6.57
Paul DeJong,7.56
Jose Martinez,7.25
Yairo Munoz,4.93
Dexter Fowler,6.52
Addison Russell,4.7
Willson Contreras,5.34
Kyle Schwarber,7.25
Jason Heyward,8.12
Ian Happ,7.43
Matt Carpenter,7.13
Javier Baez,7.45
Albert Almora,6.4
Whit Merrifield,8.34
Salvador Perez,7.87
Jose Reyes,6.41
Michael Conforto,8.04
Brandon Nimmo,8.03
Gregory Polanco,6.88
Colin Moran,6.34
Corey Dickerson,5.65
Jeff McNeil,5.75
Jordan Luplow,5.91
Jordy Mercer,4.71
Jose Bautista,7.09
Wilmer Flores,7.69
Amed Rosario,7.28
Devin Mesoraco,5.53
Starling Marte,6.76
Josh Harrison,5.8
Francisco Cervelli,5.8
David Freese,6.44
Chris Taylor,8.27
Dansby Swanson,5.29
Johan Camargo,6.42
Tyler Flowers,6.39
Freddie Freeman,6.92
Nick Markakis,6.3
Max Muncy,6.55
Ender Inciarte,4.85
Ozzie Albies,7.92
Ronald Acuna,8.02
Matt Kemp,8.25
Manny Machado,9.81
Enrique Hernandez,7.45
Yasiel Puig,7.4
Austin Barnes,5.88
Logan Forsythe,5.82
Renato Nunez,5.69
Caleb Joseph,4.6
Didi Gregorius,9.96
Brett Gardner,8.96
Mike Moustakas,6.75
Aaron Hicks,8.68
Gregory Bird,8.1
Neil Walker,5.59
Lucas Duda,5.23
Gleyber Torres,7.69
Adalberto Mondesi,5.21
Giancarlo Stanton,10.12
Alcides Escobar,4.95
Miguel Andujar,6.78
Austin Romine,4.14
Hunter Dozier,5.05
Jorge Bonifacio,6.68
Rosell Herrera,6.64
Kevin Kiermaier,9.25
Tim Beckham,7.31
Adeiny Hechavarria,6.11
C.J. Cron,7.72
Jonathan Schoop,7.62
Adam Jones,6.94
Trey Mancini,7.06
Mark Trumbo,7.2
Matt Duffy,5.78
Michael Perez,5.18
Mallex Smith,6.74
Joseph Wendle,6.21
Chris Davis,7.16
Jace Peterson,5.42
Ji-Man Choi,6.44
Jakob Bauers,8.3
Whit Merrifield,6.96
Gio Gonzalez,16.09
Trevor Richards,10.94
Justin Verlander,26.92
Ariel Jurado,11.34
Jake Odorizzi,12.15
Rick Porcello,17.57
Brett Anderson,7.02
Antonio Senzatela,8.74
Felix Hernandez,13
Jaime Barria,12.14
Jhoulys Chacin,14.06
Johnny Cueto,16.03
Tyson Ross,12.52
Patrick Corbin,19.82
John Axford,8.1
Lucas Giolito,11.13
Vincent Velasquez,16.4
Matt Harvey,11.53
Blaine Hardy,9.76
Mike Clevinger,17.79
Miles Mikolas,14.89
Jose Quintana,14.91
Brad Keller,8.92
Kevin Gausman,14.99
Alex Wood,13.79
Max Fried,11.31
Jacob deGrom,21.92
Trevor Williams,11.73
Ryne Stanek,7.9
Luis Severino,23.46
