playername,points
Justin Verlander,26.7
Corey Kluber,23.33
J.A. Happ,20.27
James Paxton,20.17
Alex Wood,19.31
Anibal Sanchez,18.68
Patrick Corbin,17.88
Rick Porcello,17.28
Nick Pivetta,16.75
Blaine Hardy,15.98
Jameson Taillon,15.31
Brett Kennedy,15.13
Gio Gonzalez,14.7
German Marquez,13.75
Jake Odorizzi,13.67
Jaime Barria,13.98
Ryan Borucki,13.15
Jose Quintana,13.02
John Gant,12.49
Trevor Richards,12.36
Lucas Giolito,12.16
Mike Fiers,12
Andrew Cashner,11.74
Andrew Suarez,11.74
Jason Vargas,11.11
Sal Romano,10.55
Jhoulys Chacin,10.45
Heath Fillmyer,9.55
Yovani Gallardo,7.88
Paul Goldschmidt,11.19
Jose Ramirez,11.03
J.D. Martinez,10.95
Mookie Betts,10.81
Freddie Freeman,10.7
Francisco Lindor,10.67
Giancarlo Stanton,10.48
Anthony Rizzo,10.36
Jesus Aguilar,10.28
Ronald Acuna,10.42
David Peralta,10.07
Yonder Alonso,9.94
Javier Baez,10
Renato Nunez,9.67
Steven Souza Jr.,9.63
Michael Brantley,9.77
Bryce Harper,9.5
Corey Dickerson,9.75
Starling Marte,9.74
Andrew Benintendi,9.54
Wil Myers,9.49
Trea Turner,9.65
Jonathan Villar,9.51
Eduardo Escobar,9.32
Lorenzo Cain,9.46
Kyle Schwarber,9.19
Ryan Braun,9.29
Brian Dozier,9.33
Michael Conforto,9.23
Justin Turner,9.28
Justin Upton,9.18
Manny Machado,9.21
Curtis Granderson,9.06
Jeff McNeil,9.03
Teoscar Hernandez,8.97
Nick Markakis,8.95
Alex Bregman,8.94
Juan Soto,8.85
Adam Jones,8.99
Gregory Polanco,8.86
Mark Trumbo,8.86
Justin Smoak,8.84
Nelson Cruz,8.83
Anthony Rendon,8.8
Christian Yelich,8.87
Johan Camargo,8.78
Eddie Rosario,8.9
Rhys Hoskins,8.64
Whit Merrifield,8.9
Aaron Hicks,8.66
Trey Mancini,8.73
Wilmer Flores,8.62
Nicholas Castellanos,8.62
Mitch Haniger,8.64
Mitch Moreland,8.55
Hunter Renfroe,8.54
J.T. Realmuto,8.7
Jose Abreu,8.65
Nick Williams,8.66
Eric Hosmer,8.6
Jeimer Candelario,8.54
Daniel Murphy,8.57
Niko Goodrum,8.5
Avisail Garcia,8.63
Kole Calhoun,8.5
Jon Jay,8.56
Jason Kipnis,8.36
Matt Kemp,8.4
Tim Anderson,8.53
Miguel Andujar,8.38
Derek Dietrich,8.34
Brandon Nimmo,8.26
Joey Votto,8.3
Didi Gregorius,8.33
Andrew McCutchen,8.38
Matt Adams,8.27
Mike Moustakas,8.27
Robinson Cano,8.35
Adam Eaton,8.42
Ben Zobrist,8.23
Todd Frazier,8.14
Devon Travis,8.35
Miguel Sano,8.15
Marcell Ozuna,8.22
Jose Martinez,8.23
Willson Contreras,8.11
Yasiel Puig,8.18
Ketel Marte,8.15
Carlos Correa,8.09
Shin-Soo Choo,8.09
Eugenio Suarez,8.06
Ender Inciarte,8.14
Scooter Gennett,8.1
Jason Heyward,8.03
Brian Anderson,8.08
Josh Bell,8.01
Hernan Perez,8.08
Enrique Hernandez,7.97
Yadier Molina,8.09
Elvis Andrus,8.1
Tim Beckham,8.02
Asdrubal Cabrera,7.99
Daniel Descalso,7.88
Brett Gardner,8
Kendrys Morales,7.91
Yan Gomes,7.88
Yasmani Grandal,7.88
Charlie Culberson,7.99
Charlie Blackmon,7.99
David Freese,7.89
Rafael Devers,7.9
Melky Cabrera,7.91
Xander Bogaerts,7.88
Matt Carpenter,7.8
Nick Ahmed,7.8
Carlos Santana,7.71
Jean Segura,7.96
