Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Le'Veon Bell (10981253),Le'Veon Bell,10981253,RB/FLEX,9400,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.69
RB,David Johnson (10981255),David Johnson,10981255,RB/FLEX,8800,WAS@ARI 09/09/2018 04:25PM ET,ARI,14
WR,Antonio Brown (10981597),Antonio Brown,10981597,WR/FLEX,8600,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.63
RB,Alvin Kamara (10981257),Alvin Kamara,10981257,RB/FLEX,8500,TB@NO 09/09/2018 01:00PM ET,NO,19.9
WR,DeAndre Hopkins (10981599),DeAndre Hopkins,10981599,WR/FLEX,8300,HOU@NE 09/09/2018 01:00PM ET,HOU,21.72
WR,Michael Thomas (10981601),Michael Thomas,10981601,WR/FLEX,7800,TB@NO 09/09/2018 01:00PM ET,NO,17.56
RB,Ezekiel Elliott (10981259),Ezekiel Elliott,10981259,RB/FLEX,7700,DAL@CAR 09/09/2018 04:25PM ET,DAL,21.92
WR,Keenan Allen (10981603),Keenan Allen,10981603,WR/FLEX,7500,KC@LAC 09/09/2018 04:05PM ET,LAC,19.08
WR,A.J. Green (10981605),A.J. Green,10981605,WR/FLEX,7300,CIN@IND 09/09/2018 01:00PM ET,CIN,14.86
QB,Tom Brady (10981164),Tom Brady,10981164,QB,7200,HOU@NE 09/09/2018 01:00PM ET,NE,20.73
RB,Leonard Fournette (10981261),Leonard Fournette,10981261,RB/FLEX,7100,JAX@NYG 09/09/2018 01:00PM ET,JAX,19.24
WR,Odell Beckham Jr. (10981607),Odell Beckham Jr.,10981607,WR/FLEX,7000,JAX@NYG 09/09/2018 01:00PM ET,NYG,18.5
TE,Rob Gronkowski (10982169),Rob Gronkowski,10982169,TE/FLEX,6900,HOU@NE 09/09/2018 01:00PM ET,NE,16.22
WR,Adam Thielen (10981609),Adam Thielen,10981609,WR/FLEX,6900,SF@MIN 09/09/2018 01:00PM ET,MIN,15.16
RB,Kareem Hunt (10981263),Kareem Hunt,10981263,RB/FLEX,6900,KC@LAC 09/09/2018 04:05PM ET,KC,19.29
QB,Cam Newton (10981165),Cam Newton,10981165,QB,6900,DAL@CAR 09/09/2018 04:25PM ET,CAR,20.66
QB,Drew Brees (10981166),Drew Brees,10981166,QB,6800,TB@NO 09/09/2018 01:00PM ET,NO,18.13
WR,T.Y. Hilton (10981611),T.Y. Hilton,10981611,WR/FLEX,6800,CIN@IND 09/09/2018 01:00PM ET,IND,11.79
RB,Melvin Gordon (10981265),Melvin Gordon,10981265,RB/FLEX,6800,KC@LAC 09/09/2018 04:05PM ET,LAC,18.38
RB,Saquon Barkley (10981267),Saquon Barkley,10981267,RB/FLEX,6700,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
WR,Mike Evans (10981613),Mike Evans,10981613,WR/FLEX,6700,TB@NO 09/09/2018 01:00PM ET,TB,13.74
QB,Deshaun Watson (10981167),Deshaun Watson,10981167,QB,6700,HOU@NE 09/09/2018 01:00PM ET,HOU,26.27
QB,Ben Roethlisberger (10981168),Ben Roethlisberger,10981168,QB,6600,PIT@CLE 09/09/2018 01:00PM ET,PIT,20.57
WR,Larry Fitzgerald (10981615),Larry Fitzgerald,10981615,WR/FLEX,6600,WAS@ARI 09/09/2018 04:25PM ET,ARI,17.15
QB,Kirk Cousins (10981169),Kirk Cousins,10981169,QB,6500,SF@MIN 09/09/2018 01:00PM ET,MIN,19.41
WR,Tyreek Hill (10981617),Tyreek Hill,10981617,WR/FLEX,6500,KC@LAC 09/09/2018 04:05PM ET,KC,17.21
